HOLEID,TCU
17001319,0.407
17001320,0.31
17001321,0.264
17001322,0.226
17001323,0.28
17001324,0.265
17001343,0.261
17001344,0.187
17001345,0.247
17001346,0.303
17001347,0.299
17001284,0.357
17001295,0.294
17001296,0.33
17001311,0.318
17001312,0.284
17001325,0.196
17001326,0.215
17001341,0.243
17001342,0.22
17001348,0.404
17001349,0.242
17001350,0.26
17001351,0.222
17001352,0.361
17001353,0.249
17001354,0.217
17001369,0.245
17001370,0.231
17001371,0.22
17001372,0.34
17001373,0.276
17001374,0.252
17001375,0.317
17001270,0.276
17001271,0.307
17001272,0.212
17001273,0.217
17001274,0.197
17001275,0.28
17001276,0.123
17001277,0.148
17001278,0.252
17001279,0.296
17001280,0.255
17001281,0.289
17001282,0.305
17001283,0.262
17001297,0.387
17001298,0.312
17001299,0.315
17001300,0.248
17001301,0.269
17001302,0.246
17001303,0.19
17001304,0.174
17001305,0.225
17001306,0.249
17001307,0.279
17001308,0.361
17001309,0.26
17001310,0.297
17001327,0.226
17001328,0.19
17001329,0.287
17001330,0.23
17001331,0.239
17001332,0.225
17001333,0.258
17001334,0.195
17001335,0.18
17001336,0.2
17001337,0.22
17001338,0.255
17001339,0.22
17001340,0.156
17001355,0.224
17001356,0.163
17001357,0.212
17001358,0.2
17001359,0.236
17001360,0.272
17001361,0.175
17001362,0.202
17001363,0.256
17001364,0.184
17001365,0.281
17001366,0.194
17001367,0.202
17001368,0.168
17001452,0.0
17001453,0.0
17001454,0.0
17001455,0.0
17001456,0.0
17001457,0.0
17001458,0.0
17001459,0.0
17001460,0.0
17001461,0.0
17001462,0.0
17001484,0.0
17001401,0.304
17001402,0.26
17001403,0.306
17001404,0.193
17001405,0.224
17001406,0.211
17001407,0.225
17001408,0.12
17001409,0.174
17001410,0.175
17001419,0.164
17001420,0.145
17001421,0.126
17001422,0.142
17001423,0.248
17001424,0.203
17001425,0.178
17001426,0.282
17001427,0.314
17001428,0.24
17001429,0.334
17001430,0.352
17001431,0.365
17001432,0.365
17001433,0.375
17001434,0.416
17001435,0.194
17001436,0.242
17001437,0.188
17001449,0.313
17001450,0.199
17001451,0.201
17001463,0.286
17001464,0.183
17001477,0.254
17001478,0.196
17001479,0.186
17001480,0.206
17001481,0.331
17001482,0.269
17001483,0.458
17001485,0.495
17001486,0.331
17001487,0.282
17001488,0.16
17001489,0.243
17001490,0.266
17001491,0.178
17001492,0.21
17001411,0.188
17001412,0.186
17001413,0.168
17001416,0.165
17001417,0.224
17001418,0.156
17001438,0.21
17001439,0.172
17001440,0.203
17001441,0.21
17001445,0.172
17001446,0.194
17001447,0.167
17001448,0.232
17001465,0.159
17001466,0.161
17001467,0.243
17001468,0.244
17001475,0.2
17001476,0.159
17001414,0.184
17001415,0.138
17001442,0.135
17001443,0.147
17001444,0.17
17001469,0.182
17001470,0.142
17001471,0.133
17001472,0.155
17001473,0.209
17001474,0.196
17001493,0.162
17001494,0.151
17001495,0.16
17001496,0.165
17001497,0.118
17001498,0.126
17001525,0.102
17001526,0.134
17001527,0.145
17001528,0.159
17001529,0.166
17001530,0.29
17001531,0.136
17001532,0.178
17001533,0.21
17001534,0.115
17001535,0.174
17001536,0.121
17001537,0.168
17001538,0.122
17001553,0.128
17001554,0.129
17001555,0.128
17001556,0.118
17001557,0.129
17001558,0.163
17001559,0.216
17001560,0.176
17001561,0.201
17001562,0.151
17001563,0.171
17001564,0.196
17001565,0.17
17001566,0.123
17001567,0.133
17001568,0.118
17001569,0.108
17001570,0.11
17001585,0.118
17001586,0.131
17001587,0.152
17001588,0.156
17001589,0.166
17001590,0.121
17001591,0.158
17001592,0.206
17001593,0.213
17001595,0.185
17001596,0.174
17001597,0.16
17001598,0.177
17001599,0.161
17001600,0.152
17001601,0.136
17001602,0.11
17001617,0.144
17001618,0.159
